Ano,Jogo,Gênero,Estúdio
2015,Bloodborne,Action role-playing,FromSoftware
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Tetris Effect,Puzzle,Monstars Inc. and Resonair
2019,Outer Wilds,Action-adventure,Mobius Digital
2020,Hades,Action role-playing,Supergiant Games
2021,Unpacking,Puzzle,Witch Beam
2022,Elden Ring,Action role-playing,FromSoftware
2023,Cocoon,Puzzle,Geometric Interactive
2024,Indiana Jones and the Great Circle,Action-adventure,MachineGames
1992,Street Fighter II,Fighting,Capcom
1993,Mortal Kombat,Fighting,Midway Games
1994,Donkey Kong Country,Platformer,Rare
1995,Donkey Kong Country 2: Diddy's Kong Quest,Platformer,Rare
1996,Super Mario 64,Platformer,Nintendo EAD
1997,Final Fantasy VII,Role-playing,Square
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999,Tony Hawk's Pro Skater,Sports,Neversoft
2000,Tony Hawk's Pro Skater 2,Sports,Neversoft
2001,Metal Gear Solid 2: Sons of Liberty,Action-adventure,Konami Computer Entertainment Japan
2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar North
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD
2004,Halo 2,First-person shooter,Bungie
2005,Resident Evil 4,Survival horror,Capcom
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD
2007,BioShock,First-person shooter,Irrational Games
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,Mass Effect 3,Action role-playing,BioWare
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Dragon Age: Inquisition,Action role-playing,BioWare
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Control,Action-adventure,Remedy Entertainment
2020,The Last of Us Part II,Action-adventure,Naughty Dog
2021,Halo Infinite,First-person shooter,343 Industries
2022,Elden Ring,Action role-playing,FromSoftware
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD
1996,Diablo,Action role-playing,Blizzard North
1997,Total Annihilation,Real-time strategy,Cavedog Entertainment
1998, The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999, Soulcalibur,Fighting,Namco
2000, Chrono Cross,Role-playing,Square
2001, Grand Theft Auto III,Action-adventure,DMA Design
2002,Metroid Prime,Action-adventure,Retro Studios
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD
2004,World of Warcraft,MMORPG,Blizzard Entertainment
2005,Resident Evil 4,Survival horror,Capcom
2006,Gears of War,Third-person shooter,Epic Games
2007,Super Mario Galaxy,Platformer,Nintendo EAD
2008,Metal Gear Solid 4: Guns of the Patriots,Action-adventure,Kojima Productions
2009,Demon's Souls,Action role-playing,FromSoftware
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,Journey,Adventure,Thatgamecompany
2013,The Legend of Zelda: A Link Between Worlds,Action-adventure,Nintendo EAD
2014,Middle-earth: Shadow of Mordor,Action-adventure,Monolith Productions
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware
2020,Half-Life: Alyx,First-person shooter,Valve
2021,Deathloop,First-person shooter,Arkane Studios
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Metaphor: ReFantazio,Role-playing,Atlus
1999,Unreal Tournament,First-person shooter,Epic Games
2000,Deus Ex,Action role-playing,Ion Storm
2001,Grand Theft Auto III,Action-adventure,DMA Design
2002,Metroid Prime,Action-adventure,Retro Studios
2003,Star Wars: Knights of the Old Republic,Role-playing,BioWare
2004,Halo 2,First-person shooter,Bungie
2005,Civilization IV,Turn-based strategy,Firaxis Games
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD
2007,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward
2008,Fallout 3,Action role-playing,Bethesda Game Studios
2009,Call of Duty: Modern Warfare 2,First-person shooter,Infinity Ward
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
